B,R,c,method,risk
10,3,1,COKE,0.256165233
10,3,1,SR,0.426256335
10,3,1,DR,0.2922394
10,3,1,ACW,0.162284868
10,3,1,COKE,0.241435931
10,3,1,SR,0.386700069
10,3,1,DR,0.315211837
10,3,1,ACW,0.503327633
10,3,1,COKE,0.186467142
10,3,1,SR,0.587511677
10,3,1,DR,0.237742979
10,3,1,ACW,2.158442824
10,3,1,COKE,0.272113666
10,3,1,SR,0.428116761
10,3,1,DR,0.556471798
10,3,1,ACW,1.129035895
10,3,1,COKE,0.187110191
10,3,1,SR,0.316640977
10,3,1,DR,0.314093641
10,3,1,ACW,0.493398633
10,3,1,COKE,0.175744203
10,3,1,SR,0.410006799
10,3,1,DR,0.186427972
10,3,1,ACW,2.00599838
10,3,1,COKE,0.266327592
10,3,1,SR,0.529120934
10,3,1,DR,0.223975287
10,3,1,ACW,0.208546569
10,3,1,COKE,0.295208608
10,3,1,SR,0.57496521
10,3,1,DR,0.448856265
10,3,1,ACW,0.29766288
10,3,1,COKE,0.238356738
10,3,1,SR,0.840342857
10,3,1,DR,0.260303761
10,3,1,ACW,1.729596065
10,3,1,COKE,0.239496703
10,3,1,SR,0.578092373
10,3,1,DR,0.223748177
10,3,1,ACW,0.418676617
10,3,1,COKE,0.253261914
10,3,1,SR,0.427219974
10,3,1,DR,0.269719772
10,3,1,ACW,0.383836263
10,3,1,COKE,0.158048398
10,3,1,SR,0.398017532
10,3,1,DR,0.249997087
10,3,1,ACW,0.310530079
10,3,1,COKE,0.232466412
10,3,1,SR,0.570537114
10,3,1,DR,0.18428438
10,3,1,ACW,0.377573491
10,3,1,COKE,0.239099645
10,3,1,SR,0.504095223
10,3,1,DR,0.421791364
10,3,1,ACW,0.460253605
10,3,1,COKE,0.22680962
10,3,1,SR,0.556695808
10,3,1,DR,0.209116236
10,3,1,ACW,0.27507279
10,3,1,COKE,0.323722689
10,3,1,SR,0.706958153
10,3,1,DR,0.191197795
10,3,1,ACW,0.371262254
10,3,1,COKE,0.228703067
10,3,1,SR,0.437106044
10,3,1,DR,0.258700122
10,3,1,ACW,0.700009605
10,3,1,COKE,0.283727575
10,3,1,SR,0.38234806
10,3,1,DR,0.262021201
10,3,1,ACW,0.181217493
10,3,1,COKE,0.211944605
10,3,1,SR,0.419549152
10,3,1,DR,0.244600218
10,3,1,ACW,0.212768242
10,3,1,COKE,0.251609131
10,3,1,SR,0.436734324
10,3,1,DR,0.512596836
10,3,1,ACW,0.4887471
10,3,1,COKE,0.208932201
10,3,1,SR,0.390657589
10,3,1,DR,0.607391246
10,3,1,ACW,2.354756888
10,3,1,COKE,0.20412707
10,3,1,SR,0.540692736
10,3,1,DR,0.533757043
10,3,1,ACW,2.160306793
10,3,1,COKE,0.185573483
10,4,1,SR,0.687476559
10,4,1,DR,0.73395319
10,4,1,ACW,1.793833692
10,4,1,COKE,0.290837634
10,4,1,SR,0.59699803
10,4,1,DR,0.524164033
10,4,1,ACW,6.837371634
10,4,1,COKE,0.341898558
10,4,1,SR,0.489243002
10,4,1,DR,0.199115889
10,4,1,ACW,1.057607536
10,4,1,COKE,0.471182233
10,4,1,SR,0.619619222
10,4,1,DR,0.419703768
10,4,1,ACW,0.483162262
10,4,1,COKE,0.304211532
10,4,1,SR,0.58624155
10,4,1,DR,1.95539042
10,4,1,ACW,2.299026926
10,4,1,COKE,0.298133369
10,4,1,SR,0.498326278
10,4,1,DR,0.496636847
10,4,1,ACW,0.342933375
10,4,1,COKE,0.292567661
10,4,1,SR,0.718131324
10,4,1,DR,0.221468086
10,4,1,ACW,2.119310381
10,4,1,COKE,0.402812912
