B,type,risk
5,perm1,0.12722014106818252
5,perm2,0.13538214618752956
5,all,0.11374968101438572
5,perm1,0.17028652791796384
5,perm2,0.1367267717690331
5,all,0.12637189595563658
5,perm1,0.17924222744022078
5,perm2,0.15198279322280409
5,all,0.1484648142359923
5,perm1,0.1575181765747638
5,perm2,0.18182238126558622
5,all,0.1481566965257552
5,perm1,0.15031574357371852
5,perm2,0.12651125129262583
5,all,0.11504183491976751
5,perm1,0.17567657144611254
5,perm2,0.15161961179053934
5,all,0.13375057354194586
5,perm1,0.15174776866592105
5,perm2,0.15671110644860173
5,all,0.13335020038234358
5,perm1,0.25326373489968784
5,perm2,0.20655051477164071
5,all,0.2046809342377159
5,perm1,0.14129534354112624
5,perm2,0.16807091173812827
5,all,0.12372945254573617
5,perm1,0.17425929982547528
5,perm2,0.15994619903826318
5,all,0.13926219318063635
5,perm1,0.15037423018374058
5,perm2,0.18635117629573547
5,all,0.1505870662426706
5,perm1,0.14506621665830827
5,perm2,0.15328414760175724
5,all,0.1315306795140268
5,perm1,0.18635091406516516
5,perm2,0.1775028427495145
5,all,0.1570441271078922
5,perm1,0.15410526445621772
5,perm2,0.15810399830414376
5,all,0.12500220280979377
5,perm1,0.19981468579376632
5,perm2,0.21371263539091015
5,all,0.18303132059503163
5,perm1,0.1435940500386013
5,perm2,0.1500621831483657
5,all,0.12513417695874118
5,perm1,0.1467045036717906
5,perm2,0.20760889233067
5,all,0.15379246628153695
5,perm1,0.2593038669086285
5,perm2,0.1811514829961646
5,all,0.19634383534975985
5,perm1,0.18554748259876377
5,perm2,0.20763469988181887
5,all,0.16909509804876696
5,perm1,0.11841500187558877
5,perm2,0.13217298909056832
5,all,0.10295045704377116
5,perm1,0.1401881037199319
5,perm2,0.1261226592269043
5,all,0.11171838387606516
5,perm1,0.20656620151826674
5,perm2,0.17317721010028359
5,all,0.16561777459684648
5,perm1,0.16883224965922208
5,perm2,0.1824650694360329
5,all,0.15568203601702757
5,perm1,0.11427352753153713
5,perm2,0.13978015378840628
5,all,0.10651172534864822
5,perm1,0.10985324514924896
5,perm2,0.17750468585756216
5,all,0.12147268253114411
5,perm1,0.1646007999543269
5,perm2,0.1371171947865965
5,all,0.12664067764968287
5,perm1,0.1758794275120499
5,perm2,0.16168880834237867
5,all,0.1490636126730381
5,perm1,0.1182095051152013
5,perm2,0.13939575060501902
5,all,0.10404080165282312
5,perm1,0.24561423764229595
5,perm2,0.18010581663412473
5,all,0.18668150703558173
5,perm1,0.229682135757328
5,perm2,0.13889825263520253
5,all,0.1633563747186688
5,perm1,0.19244939451876308
5,perm2,0.21595073901331743
5,all,0.1814538541151812
5,perm1,0.17623430781739857
5,perm2,0.16719897394520958
5,all,0.14551370016030168
5,perm1,0.1611114819732263
5,perm2,0.23925629167252285
5,all,0.1760071010608485
5,perm1,0.1691938661514356
5,perm2,0.16180944636014555
5,all,0.13809825813297624
5,perm1,0.13680158123428532
5,perm2,0.15867123683919415
5,all,0.11719757816060287
5,perm1,0.1946444335022159
5,perm2,0.17004991435142242
5,all,0.15943033534356238
5,perm1,0.13972639205175338
5,perm2,0.14137448310059147
5,all,0.11726150164964513
5,perm1,0.19994348685387986
5,perm2,0.15415966945003923
5,all,0.15431887376878864
