B,R,c,method,risk
5,2,1,COKE,0.134527583
5,2,1,SR,0.41474667
5,2,1,DR,0.254336368
5,2,1,ACW,1.234303117
5,2,1,COKE,0.131844687
5,2,1,SR,0.303203657
5,2,1,DR,0.23175629
5,2,1,ACW,0.538144774
5,2,1,COKE,0.149041691
5,2,1,SR,0.282164997
5,2,1,DR,0.1744761
5,2,1,ACW,0.451919388
5,2,1,COKE,0.119918221
5,2,1,SR,0.540528826
5,2,1,DR,0.204236411
5,2,1,ACW,0.399586955
5,2,1,COKE,0.188370545
5,2,1,SR,0.252522892
5,2,1,DR,0.28160678
5,2,1,ACW,0.345134793
5,2,1,COKE,0.155203262
5,2,1,SR,0.209628966
5,2,1,DR,0.240163761
5,2,1,ACW,0.497028019
5,2,1,COKE,0.13789018
5,2,1,SR,0.245874518
5,2,1,DR,0.175405165
5,2,1,ACW,0.199726765
5,2,1,COKE,0.130699009
5,2,1,SR,0.482319943
5,2,1,DR,0.187652748
5,2,1,ACW,0.32911438
5,2,1,COKE,0.15416027
5,2,1,SR,0.313915461
5,2,1,DR,0.15834664
5,2,1,ACW,0.235002032
5,2,1,COKE,0.112066976
5,2,1,SR,0.315685685
5,2,1,DR,0.173892158
5,2,1,ACW,0.637066751
5,2,1,COKE,0.160357778
5,2,1,SR,0.332751545
5,2,1,DR,0.157924371
5,2,1,ACW,0.279423257
5,2,1,COKE,0.109107535
5,2,1,SR,0.500301113
5,2,1,DR,0.193911431
5,2,1,ACW,0.246666347
5,2,1,COKE,0.151580623
5,2,1,SR,0.370610072
5,2,1,DR,0.184650043
5,2,1,ACW,0.235148944
5,2,1,COKE,0.143867566
5,2,1,SR,0.21678432
5,2,1,DR,0.220852119
5,2,1,ACW,0.409545016
5,2,1,COKE,0.114253606
5,2,1,SR,0.204100118
5,2,1,DR,0.169728051
5,2,1,ACW,0.244337828
5,2,1,COKE,0.158832574
5,2,1,SR,0.48162728
5,2,1,DR,0.149864351
5,2,1,ACW,0.311442678
5,2,1,COKE,0.199879954
5,2,1,SR,0.30102669
5,2,1,DR,0.180315912
5,2,1,ACW,0.267616969
5,2,1,COKE,0.139747286
5,2,1,SR,0.275489612
5,2,1,DR,0.200587925
5,2,1,ACW,0.298553609
5,2,1,COKE,0.127451335
5,2,1,SR,0.325109227
5,2,1,DR,0.236518524
5,2,1,ACW,0.184005521
5,2,1,COKE,0.161230217
5,2,1,SR,0.210679648
5,2,1,DR,0.162795509
5,2,1,ACW,0.237499311
5,2,1,COKE,0.131869358
5,2,1,SR,0.390170398
5,2,1,DR,0.16555893
5,2,1,ACW,0.408788031
5,2,1,COKE,0.191120175
5,2,1,SR,0.200583658
5,2,1,DR,0.169324198
5,2,1,ACW,0.276837274
5,2,1,COKE,0.113829267
5,2,1,SR,0.294208693
5,2,1,DR,0.164331663
5,2,1,ACW,0.312095841
5,2,1,COKE,0.135640909
5,2,1,SR,0.262529845
5,2,1,DR,0.19572286
5,2,1,ACW,0.285243636
5,2,1,COKE,0.129695889
5,2,1,SR,0.354493526
5,2,1,DR,0.175291811
5,2,1,ACW,1.285670263
5,2,1,COKE,0.198098881
5,2,1,SR,0.291344284
5,2,1,DR,0.177551411
5,2,1,ACW,1.010748451
5,2,1,COKE,0.162431261
5,2,1,SR,0.472361146
5,2,1,DR,0.17769153
5,2,1,ACW,0.59680172
5,2,1,COKE,0.159991796
5,2,1,SR,0.270076145
5,2,1,DR,0.20702985
5,2,1,ACW,0.718648244
5,2,1,COKE,0.104288286
5,2,1,SR,0.335761211
5,2,1,DR,0.150628085
5,2,1,ACW,0.412823804
5,2,1,COKE,0.126182338
5,2,1,SR,0.342776053
5,2,1,DR,0.219122009
5,2,1,ACW,0.251963488
5,2,1,COKE,0.153972639
5,2,1,SR,0.250595497
5,2,1,DR,0.176692664
5,2,1,ACW,0.185760521
5,2,1,COKE,0.124408061
5,2,1,SR,0.376870082
5,2,1,DR,0.161269784
5,2,1,ACW,0.429740359
5,2,1,COKE,0.17116032
5,2,1,SR,0.331585467
5,2,1,DR,0.149742226
5,2,1,ACW,0.356607364
5,2,1,COKE,0.16021759
5,2,1,SR,0.26874132
5,2,1,DR,0.294356314
5,2,1,ACW,0.252032422
5,2,1,COKE,0.154947779
5,2,1,SR,0.195673823
5,2,1,DR,0.202566532
5,2,1,ACW,0.202194346
5,2,1,COKE,0.144992047
5,2,1,SR,0.376674566
5,2,1,DR,0.146928198
5,2,1,ACW,0.333525916
5,2,1,COKE,0.174508706
5,2,1,SR,0.272187187
5,2,1,DR,0.241170252
5,2,1,ACW,2.413792891
5,2,1,COKE,0.131607981
5,2,1,SR,0.384725652
5,2,1,DR,0.224756122
5,2,1,ACW,0.250538031
5,2,1,COKE,0.180629397
5,2,1,SR,0.289759248
5,2,1,DR,0.191548447
5,2,1,ACW,0.211692609
5,2,1,COKE,0.14238596
5,2,1,SR,0.235734537
5,2,1,DR,0.214952156
5,2,1,ACW,0.50566713
5,2,1,COKE,0.130391926
5,2,1,SR,0.236509031
5,2,1,DR,0.17661179
5,2,1,ACW,0.300069957
5,2,1,COKE,0.132953149
5,2,1,SR,0.256222225
5,2,1,DR,0.280603392
5,2,1,ACW,0.271234636
5,2,1,COKE,0.13806871
5,2,1,SR,0.254733306
5,2,1,DR,0.286780832
5,2,1,ACW,0.42204655
5,2,1,COKE,0.145229901
5,2,1,SR,0.26312285
5,2,1,DR,0.230921648
5,2,1,ACW,0.307488296
5,2,1,COKE,0.140594289
5,2,1,SR,0.557536102
5,2,1,DR,0.180980458
5,2,1,ACW,3.139942006
5,2,1,COKE,0.171793695
5,2,1,SR,0.287663232
5,2,1,DR,0.16112393
5,2,1,ACW,0.21117345
5,2,1,COKE,0.152868507
10,2,1,SR,0.320264243
10,2,1,DR,0.315442365
10,2,1,ACW,10.78379269
10,2,1,COKE,0.161880264
10,2,1,SR,0.387984761
10,2,1,DR,0.244805841
10,2,1,ACW,1.715205315
10,2,1,COKE,0.21167777
10,2,1,SR,0.438226668
10,2,1,DR,0.332731247
10,2,1,ACW,1.431022649
10,2,1,COKE,0.172884965
10,2,1,SR,0.356613042
10,2,1,DR,0.234475914
10,2,1,ACW,0.277748735
10,2,1,COKE,0.150995758
10,2,1,SR,0.258814753
10,2,1,DR,0.184108837
10,2,1,ACW,0.799921998
10,2,1,COKE,0.156834845
10,2,1,SR,0.313843816
10,2,1,DR,0.366777286
10,2,1,ACW,118.2376206
10,2,1,COKE,0.135663511
10,2,1,SR,0.448981064
10,2,1,DR,0.226258043
10,2,1,ACW,1.158876274
10,2,1,COKE,0.24712607
10,2,1,SR,0.394592844
10,2,1,DR,0.259984258
10,2,1,ACW,2.855377284
10,2,1,COKE,0.162202716
10,2,1,SR,0.301594618
10,2,1,DR,0.261996411
10,2,1,ACW,0.608142533
10,2,1,COKE,0.156012184
10,2,1,SR,0.38486333
10,2,1,DR,0.344572747
10,2,1,ACW,0.420532815
10,2,1,COKE,0.196026867
10,2,1,SR,0.499144767
10,2,1,DR,0.19812969
10,2,1,ACW,0.743901907
10,2,1,COKE,0.128092732
10,2,1,SR,0.217873933
10,2,1,DR,0.397419626
10,2,1,ACW,0.812716541
10,2,1,COKE,0.195168648
10,2,1,SR,0.272049986
10,2,1,DR,0.349629568
10,2,1,ACW,0.767666877
10,2,1,COKE,0.140226954
10,2,1,SR,0.310944527
10,2,1,DR,0.17979618
10,2,1,ACW,30.79190041
10,2,1,COKE,0.15156834
10,2,1,SR,0.384394049
10,2,1,DR,0.266716915
10,2,1,ACW,0.336834185
10,2,1,COKE,0.176247003
10,2,1,SR,0.255413736
