nt,method,risk
500,DR,0.294916183
500,ACW,5.63779695
500,COKE,0.232823644
500,RLearner,0.435803797
500,SR,0.555975087
500,DR,0.525303118
500,ACW,1.768741505
500,COKE,0.331001049
500,RLearner,0.41026034
500,SR,0.654490993
500,DR,0.35303079
500,ACW,0.657979723
500,COKE,0.31562443
500,RLearner,0.322319147
500,SR,0.42305283
500,DR,0.383712931
500,ACW,1.320714612
500,COKE,0.258824805
500,RLearner,0.605156185
500,SR,0.395086904
500,DR,0.475749338
500,ACW,0.485276091
500,COKE,0.299622166
500,RLearner,0.425831482
500,SR,0.406934089
500,DR,0.49038356
500,ACW,0.755538232
500,COKE,0.243841168
500,RLearner,0.22265299
500,SR,0.452977792
500,DR,0.594933725
500,ACW,11.92683042
500,COKE,0.292384924
500,RLearner,0.366669287
500,SR,0.759329597
500,DR,0.418260857
500,ACW,0.50406364
500,COKE,0.285623677
500,RLearner,0.283510403
500,SR,0.539833787
500,DR,0.427494027
500,ACW,2.38902164
500,COKE,0.209090571
500,RLearner,0.282398947
500,SR,0.74561836
500,DR,0.400113094
500,ACW,0.772632609
500,COKE,0.336535147
500,RLearner,0.310726352
500,SR,0.469597513
500,DR,0.30280556
500,ACW,0.318888798
500,COKE,0.295304512
500,RLearner,0.224095999
500,SR,0.466819848
500,DR,0.370402707
500,ACW,2.613565757
500,COKE,0.221900462
500,RLearner,0.412908267
500,SR,0.607826684
500,DR,0.325869146
500,ACW,0.43755236
500,COKE,0.367961388
500,RLearner,0.276671269
500,SR,0.318511432
500,DR,0.388341222
500,ACW,2.938620069
500,COKE,0.189517794
500,RLearner,0.328023553
500,SR,0.720507338
500,DR,0.183645219
500,ACW,0.472419173
500,COKE,0.18545628
500,RLearner,0.194038995
500,SR,1.098080952
500,DR,0.274519744
500,ACW,0.496721482
500,COKE,0.282991376
500,RLearner,0.290290333
500,SR,0.45771975
500,DR,0.465586393
500,ACW,0.466349171
500,COKE,0.252298803
500,RLearner,0.387769402
500,SR,0.450248459
500,DR,0.457679244
500,ACW,0.518884429
500,COKE,0.237420076
500,RLearner,0.209516176
500,SR,0.27601537
500,DR,0.354890386
500,ACW,1.1380674
500,COKE,0.216073641
500,RLearner,0.274875551
500,SR,0.345963974
500,DR,0.427530723
500,ACW,0.683606852
500,COKE,0.189203388
500,RLearner,0.326208977
500,SR,0.570033681
500,DR,0.352420112
500,ACW,13.21854694
500,COKE,0.201710166
500,RLearner,0.209461289
500,SR,0.850506597
500,DR,0.48413781
500,ACW,0.421133151
500,COKE,0.371065492
500,RLearner,0.316348801
500,SR,0.479718715
500,DR,0.545644163
500,ACW,1.656230956
500,COKE,0.238320352
500,RLearner,0.359339033
500,SR,0.717525633
500,DR,0.68802956
500,ACW,0.500723617
500,COKE,0.363812245
500,RLearner,0.448402101
500,SR,0.417304603
500,DR,0.504870786
500,ACW,0.236309345
500,COKE,0.214079866
500,RLearner,0.289926646
500,SR,0.657659449
500,DR,0.479872783
500,ACW,0.50523797
500,COKE,0.237611163
500,RLearner,0.365507087
500,SR,0.730871172
500,DR,0.301109765
500,ACW,4.063053989
500,COKE,0.197338836
500,RLearner,0.36334392
